Paper;URL;Country;Mean;SD;scale-min;scale-max;year;N;Visualization-level;SAE;Uncertainty;Own;Exclude;Reason;Remarks;;;;;
avetisyan2022investigating;https://pdf.sciencedirectassets.com/271994/1-s2.0-S1369847822X00065/1-s2.0-S1369847822001589/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEFIaCXVzLWVhc3QtMSJHMEUCIEHfRLHy0buNBe7LBB9E3%2BRjDhUUIGn7H4aoqC5QGb0LAiEArWKMCBkVufOBR4Y4BEAYfSsfP5sq8LEmaRxYimOY4h0qvAUI2v%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDLzOyB4BPEGjsZj7ZyqQBdmUQKGNshjVcs8w0C3NmibBD%2B59V7HH7wrLHhxC09NzpmEUC9124%2FjdOtfi6tQ3IzflI5JFiY%2FsKT69CD7C65HtpUC0WpsXFtGjEn9sbJKTC3cgmQQPsD5hQYsZI0cAsWMolOjyTBzOZXbK5CgFfuOdFSvgn2EK%2B%2FGSrEZyhMtjpb0%2BurkaELlvWYtlnISJQURRvdG9RfBODWTZ6hFtLsbLuBquFsRFJYFVb0WK3xMHXD4LE8nft8guTK8VVuhvhD%2F0iTBdOPYiwKc%2FM4C5pTTd0rwbpipFbCRIScKWPTI5XdLBDD1aXufmERlVk94sLGpWSJ34O8JzBoyqhB3YXhaemU1WS4RE8piMabOf02P69DlU%2B5VFCFqMo7DmNIal0jxo94J48MJ5Z%2BGtjqjAcMSVEVkUxJmIW%2FNgIQxQ48nuL19F4c9s1PMFdcD0T5ZttZVkWSBlmsWivqYKtA4FkRhcZWb8bAPb27HcokERoAGT0y2eWyK3qTMG%2FZCgxWWlAJUlpLu%2Fx39muHmXZ10ARS7%2Fx4hdAaPbjOeJLETFNNOTwuizLqSFxYcmSyQHKAMFscsw0%2BLAWv3%2BlGzPYtfJYjg05V1LvfidYu8ymWA0tj16z08rIv8K2PFzwpCidHSOuY%2BoqIQ3onUNd9ACS0uG7uWwXxXR5tPS%2B1iSzve3FuheMSsFmIyhWNjwbop79WqHU9Lqh0Ey49678vJrXldhowMH6UUYg3e%2BQ%2B6uGf2lJCX1P4TBo8EwoYYty14%2FIfev1m0bFnkhzFNc%2B9s%2FWNMLlyhkj6ElrVqWEP0qQez64WxCnALCEP4GKsKPn6khfcj83zDymKi5II1l%2FC7T9aI%2BpFYA9iYNWfsoET1LWXUiztNvMN2a8KUGOrEB7SJd%2BAyXq3mmo%2BPge1ZHMhivl12JL%2B1MBQyQ3xGTebC7uJXEK7lGPVy4OSaoLL1r95%2Br977UJS2K5StTVGTut%2BaI8dHvHEaUizCMBFwt8a5QnAuowidP2rCUbTR9kX6suEaWhAE2DHYe9lxQEa5CWdyKcxCf%2B1xdAaQDehs6s9q97TQqVvMcmRIRDNSYlBdUlqv2qiY1ninutjOtfSbL2rW49sbHg5EP8AmgaCIHiSv7&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230722T182956Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYZBIG35A4%2F20230722%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=d77bcdfdd93dcbd7a7fbb8ecaa9283ef5bd70b3f155d71335ac904a669ae050f&hash=f6bbb74ede3bc9012c22a92188b52bdd6efb79b6cc8e40d491c8da831fbd11a7&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1369847822001589&tid=spdf-b59d345e-e306-4185-aaac-878ac35dc2bd&sid=aa4713d55d0e474e176b02032cebc528029dgxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1015520a050602555956&rr=7eadc0842c3742a1&cc=us;USA;4.9;0.25;1;7;2022;340;Sit. Detection;4;No;Related Work;FALSCH;;between-subject;values are guessed;;;;
avetisyan2022investigating;https://pdf.sciencedirectassets.com/271994/1-s2.0-S1369847822X00065/1-s2.0-S1369847822001589/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEFIaCXVzLWVhc3QtMSJHMEUCIEHfRLHy0buNBe7LBB9E3%2BRjDhUUIGn7H4aoqC5QGb0LAiEArWKMCBkVufOBR4Y4BEAYfSsfP5sq8LEmaRxYimOY4h0qvAUI2v%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDLzOyB4BPEGjsZj7ZyqQBdmUQKGNshjVcs8w0C3NmibBD%2B59V7HH7wrLHhxC09NzpmEUC9124%2FjdOtfi6tQ3IzflI5JFiY%2FsKT69CD7C65HtpUC0WpsXFtGjEn9sbJKTC3cgmQQPsD5hQYsZI0cAsWMolOjyTBzOZXbK5CgFfuOdFSvgn2EK%2B%2FGSrEZyhMtjpb0%2BurkaELlvWYtlnISJQURRvdG9RfBODWTZ6hFtLsbLuBquFsRFJYFVb0WK3xMHXD4LE8nft8guTK8VVuhvhD%2F0iTBdOPYiwKc%2FM4C5pTTd0rwbpipFbCRIScKWPTI5XdLBDD1aXufmERlVk94sLGpWSJ34O8JzBoyqhB3YXhaemU1WS4RE8piMabOf02P69DlU%2B5VFCFqMo7DmNIal0jxo94J48MJ5Z%2BGtjqjAcMSVEVkUxJmIW%2FNgIQxQ48nuL19F4c9s1PMFdcD0T5ZttZVkWSBlmsWivqYKtA4FkRhcZWb8bAPb27HcokERoAGT0y2eWyK3qTMG%2FZCgxWWlAJUlpLu%2Fx39muHmXZ10ARS7%2Fx4hdAaPbjOeJLETFNNOTwuizLqSFxYcmSyQHKAMFscsw0%2BLAWv3%2BlGzPYtfJYjg05V1LvfidYu8ymWA0tj16z08rIv8K2PFzwpCidHSOuY%2BoqIQ3onUNd9ACS0uG7uWwXxXR5tPS%2B1iSzve3FuheMSsFmIyhWNjwbop79WqHU9Lqh0Ey49678vJrXldhowMH6UUYg3e%2BQ%2B6uGf2lJCX1P4TBo8EwoYYty14%2FIfev1m0bFnkhzFNc%2B9s%2FWNMLlyhkj6ElrVqWEP0qQez64WxCnALCEP4GKsKPn6khfcj83zDymKi5II1l%2FC7T9aI%2BpFYA9iYNWfsoET1LWXUiztNvMN2a8KUGOrEB7SJd%2BAyXq3mmo%2BPge1ZHMhivl12JL%2B1MBQyQ3xGTebC7uJXEK7lGPVy4OSaoLL1r95%2Br977UJS2K5StTVGTut%2BaI8dHvHEaUizCMBFwt8a5QnAuowidP2rCUbTR9kX6suEaWhAE2DHYe9lxQEa5CWdyKcxCf%2B1xdAaQDehs6s9q97TQqVvMcmRIRDNSYlBdUlqv2qiY1ninutjOtfSbL2rW49sbHg5EP8AmgaCIHiSv7&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230722T182956Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYZBIG35A4%2F20230722%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=d77bcdfdd93dcbd7a7fbb8ecaa9283ef5bd70b3f155d71335ac904a669ae050f&hash=f6bbb74ede3bc9012c22a92188b52bdd6efb79b6cc8e40d491c8da831fbd11a7&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1369847822001589&tid=spdf-b59d345e-e306-4185-aaac-878ac35dc2bd&sid=aa4713d55d0e474e176b02032cebc528029dgxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1015520a050602555956&rr=7eadc0842c3742a1&cc=us;USA;5.1;0.25;1;7;2022;340;Multiple;4;No;Related Work;FALSCH;;"between-subject; Detection+Intention";values are guessed;;;;
avetisyan2022investigating;https://pdf.sciencedirectassets.com/271994/1-s2.0-S1369847822X00065/1-s2.0-S1369847822001589/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEFIaCXVzLWVhc3QtMSJHMEUCIEHfRLHy0buNBe7LBB9E3%2BRjDhUUIGn7H4aoqC5QGb0LAiEArWKMCBkVufOBR4Y4BEAYfSsfP5sq8LEmaRxYimOY4h0qvAUI2v%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDLzOyB4BPEGjsZj7ZyqQBdmUQKGNshjVcs8w0C3NmibBD%2B59V7HH7wrLHhxC09NzpmEUC9124%2FjdOtfi6tQ3IzflI5JFiY%2FsKT69CD7C65HtpUC0WpsXFtGjEn9sbJKTC3cgmQQPsD5hQYsZI0cAsWMolOjyTBzOZXbK5CgFfuOdFSvgn2EK%2B%2FGSrEZyhMtjpb0%2BurkaELlvWYtlnISJQURRvdG9RfBODWTZ6hFtLsbLuBquFsRFJYFVb0WK3xMHXD4LE8nft8guTK8VVuhvhD%2F0iTBdOPYiwKc%2FM4C5pTTd0rwbpipFbCRIScKWPTI5XdLBDD1aXufmERlVk94sLGpWSJ34O8JzBoyqhB3YXhaemU1WS4RE8piMabOf02P69DlU%2B5VFCFqMo7DmNIal0jxo94J48MJ5Z%2BGtjqjAcMSVEVkUxJmIW%2FNgIQxQ48nuL19F4c9s1PMFdcD0T5ZttZVkWSBlmsWivqYKtA4FkRhcZWb8bAPb27HcokERoAGT0y2eWyK3qTMG%2FZCgxWWlAJUlpLu%2Fx39muHmXZ10ARS7%2Fx4hdAaPbjOeJLETFNNOTwuizLqSFxYcmSyQHKAMFscsw0%2BLAWv3%2BlGzPYtfJYjg05V1LvfidYu8ymWA0tj16z08rIv8K2PFzwpCidHSOuY%2BoqIQ3onUNd9ACS0uG7uWwXxXR5tPS%2B1iSzve3FuheMSsFmIyhWNjwbop79WqHU9Lqh0Ey49678vJrXldhowMH6UUYg3e%2BQ%2B6uGf2lJCX1P4TBo8EwoYYty14%2FIfev1m0bFnkhzFNc%2B9s%2FWNMLlyhkj6ElrVqWEP0qQez64WxCnALCEP4GKsKPn6khfcj83zDymKi5II1l%2FC7T9aI%2BpFYA9iYNWfsoET1LWXUiztNvMN2a8KUGOrEB7SJd%2BAyXq3mmo%2BPge1ZHMhivl12JL%2B1MBQyQ3xGTebC7uJXEK7lGPVy4OSaoLL1r95%2Br977UJS2K5StTVGTut%2BaI8dHvHEaUizCMBFwt8a5QnAuowidP2rCUbTR9kX6suEaWhAE2DHYe9lxQEa5CWdyKcxCf%2B1xdAaQDehs6s9q97TQqVvMcmRIRDNSYlBdUlqv2qiY1ninutjOtfSbL2rW49sbHg5EP8AmgaCIHiSv7&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230722T182956Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYZBIG35A4%2F20230722%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=d77bcdfdd93dcbd7a7fbb8ecaa9283ef5bd70b3f155d71335ac904a669ae050f&hash=f6bbb74ede3bc9012c22a92188b52bdd6efb79b6cc8e40d491c8da831fbd11a7&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1369847822001589&tid=spdf-b59d345e-e306-4185-aaac-878ac35dc2bd&sid=aa4713d55d0e474e176b02032cebc528029dgxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1015520a050602555956&rr=7eadc0842c3742a1&cc=us;USA;5;0.25;1;7;2022;340;Multiple;4;No;Related Work;FALSCH;;"between-subject; Detection+Intention+Planning";values are guessed;;;;
schneider2023dont;https://dl.acm.org/doi/pdf/10.1145/3581641.3584085;Germany;;;1;5;2023;113;;4;No;Related Work;WAHR;;"between-subject; trust not reported";;;;;
omeiza2021not;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9542835;USA;2.5;0.5;1;5;2021;101;Multiple;4;No;Related Work;FALSCH;;What;"values are guessed; post";;;;
omeiza2021not;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9542835;USA;2.9;0.4;1;5;2021;101;Multiple;4;No;Related Work;FALSCH;;What if;"values are guessed; post";;;;
omeiza2021not;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9542835;USA;3;0.5;1;5;2021;101;Multiple;4;No;Related Work;FALSCH;;Why;"values are guessed; post";;;;
omeiza2021not;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9542835;USA;2.8;0.5;1;5;2021;101;Multiple;4;No;Related Work;FALSCH;;Why not;"values are guessed; post";;;;
core-colley2024visualizing;;Germany;3.07;;1;5;2023;78;None;5;;Core;FALSCH;;this is the replication study - baseline;;;;0;100
core-colley2024visualizing;;Germany;3.22;;1;5;2023;78;Multiple;5;;Core;FALSCH;;this is the replication study - visualization;;;;0;100
core-colley2024visualizing;;Germany;3.11;;1;5;2023;22;None;5;;Core;FALSCH;;Study B - Baseline;;;;0;100
core-colley2024visualizing;;Germany;3.09;;1;5;2023;22;Multiple;5;;Core;FALSCH;;Study B - multiple;;;;0;100
core-colley2024bo;;USA;4.5;0.73;1;5;2023;117;Multiple;5;;Core;FALSCH;;"No ""one"" visualization; take average of Cold Start";;;;0;100
core-colley2024trust;;USA;3.930769231;1.125383391;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;67.87;;;0;100
core-colley2024trust;;USA;3.892307692;1.063824852;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;68.27;;;0;100
core-colley2024trust;;USA;3.926923077;1.067692467;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;69.54;;;0;100
core-colley2024trust;;USA;3.861538462;1.168075646;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;70.23;;;0;100
core-colley2024trust;;USA;3.930769231;1.005322745;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;71.11;;;0;100
core-colley2024trust;;USA;4.038461538;0.939271086;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;72.25;;;0;100
core-colley2024trust;;USA;3.996153846;0.995135755;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;73.61;;;0;100
core-colley2024trust;;USA;3.973076923;0.984987188;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;74.09;;;0;100
core-colley2024trust;;USA;4.123076923;0.938127647;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;75.13;;;0;100
core-colley2024trust;;USA;4.061538462;0.97052568;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;76.26;;;0;100
core-colley2024trust;;USA;4.011538462;0.975405669;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;77.1;;;0;100
core-colley2024trust;;USA;4;0.970494959;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;78.22;;;0;100
core-colley2024trust;;USA;4.134615385;0.9519227;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;79.09;;;0;100
core-colley2024trust;;USA;3.976923077;1.011295773;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;80.09;;;0;100
core-colley2024trust;;USA;4.076923077;0.879264885;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;80.97;;;0;100
core-colley2024trust;;USA;4.080769231;0.951954021;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;81.35;;;0;100
core-colley2024trust;;USA;4.138461538;0.869409905;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;82.58;;;0;100
core-colley2024trust;;USA;4.192307692;0.836160975;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;83.68;;;0;100
core-colley2024trust;;USA;4.165384615;0.911571736;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;85.16;;;0;100
core-colley2024trust;;USA;4.196153846;0.890292509;1;5;2023;130;Sit. Detection;5;;Core;FALSCH;;;86.2;;;0;100
